topic_id,top_words,expert_label,include_exclude,comment
16,"rna, pol, ii, splicing, polymerase, iii, transcription, u6, ctd, that",RNA polymerase II/III transcription biology unrelated to mushroom poisoning,EXCLUDE,Basic transcription biology cluster without mushroom-poisoning relevance.
17,"involutus, mushrooms, paxillus, poisonous, antimicrobial, fungi, phytochemical, flavonoid, phenolic, medicinal",Paxillus involutus toxicity and bioactive metabolites,INCLUDE,"Relevant poisonous-mushroom species cluster addressing Paxillus toxicity and metabolite/biological activity, though partly phytochemical."
18,"conjugates, drug, antibody, adcs, conjugate, cancer, targeted, cytotoxic, payload, tumor",Alpha-amanitin as cancer drug-conjugate payload,EXCLUDE,"Toxin-derived oncology/drug-delivery literature; not focused on mushroom poisoning, exposure, diagnosis, or clinical toxicology."
19,"phlip, synthesis, ph, peptide, amanitin, peptides, delivery, isoindole, stapling, of",pHLIP-mediated amanitin delivery for cancer therapy,EXCLUDE,Cancer-targeted delivery of alpha-amanitin; not mushroom-poisoning literature.
20,"edible, knowledge, ethnomycological, species, ethno, mushrooms, india, chiapas, forest, traditions","Ethnomycology, foraging knowledge, and edible/toxic mushroom differentiation",INCLUDE,"Relevant prevention/public-health cluster on traditional mushroom knowledge, edible-toxic differentiation, and foraging culture."
21,"amanitin, plasma, drug, mice, in, vivo, rat, kg, mass, determination","Amanitin toxicokinetics, metabolism, and in vivo disposition",INCLUDE,Relevant mechanistic/analytical toxicology cluster focused on pharmacokinetics and metabolism of alpha- and beta-amanitin.
22,"germination, seed, p1, mrnas, seeds, arabidopsis, rna, rr, stored, that",Plant seed germination and mRNA biology using alpha-amanitin,EXCLUDE,"Plant developmental biology; alpha-amanitin is used as a transcription inhibitor, not as a mushroom-poisoning focus."
23,"cardiac, rhabdomyolysis, subnigricans, poisoning, mushroom, myocardial, cardiogenic, shock, russula, case",Rhabdomyolytic and cardiac toxicity from Russula subnigricans,INCLUDE,"Mushroom-specific clinical toxicity cluster involving Russula subnigricans, rhabdomyolysis, acute kidney injury, and cardiogenic shock."
24,"ii, elongation, polymerase, rna, pol, tl, ntp, cleavage, termination, site",Alpha-amanitin mechanism of RNA polymerase II inhibition,INCLUDE,"Mechanistically relevant toxin-biology cluster explaining the molecular target of alpha-amanitin, although not primarily clinical."
25,"repair, dna, damage, cells, tcr, csb, uv, transcription, excision, polymerase",DNA repair and transcription-coupled repair unrelated to mushroom poisoning,EXCLUDE,"Representative studies focus on DNA repair, melphalan, CSB, and UV/cellular damage; not mushroom-specific."
26,"mushroom, poisoning, checklist, progress, treatment, emergency, medicine, syndromes, roasted, trickery",Emergency medicine syndromes and treatment of mushroom poisoning,INCLUDE,"Core clinical-management cluster focused on mushroom poisoning syndromes, emergency care, and treatment checklists."
27,"dermatitis, shiitake, flagellate, frondosus, erythema, photosensitive, cordierites, musculoskeletal, case, sunlight",Shiitake mushroom dermatitis,INCLUDE,Mushroom-specific adverse-reaction cluster focused on flagellate dermatitis following shiitake exposure.
28,"detection, amanitin, for, gold, based, ml, aptamer, electrochemical, amatoxins, the","Amanitin biosensors, aptamers, and rapid detection platforms",INCLUDE,"Relevant diagnostic-technology cluster focused on aptamer, immunosensor, electrochemical, and paper-based detection of amanitin."
29,"patients, were, mushroom, poisoning, wild, cases, emergency, the, hospital, symptoms",Clinical epidemiology of wild mushroom poisoning,INCLUDE,"Relevant hospital/region-based clinical epidemiology cluster describing demographic, clinical, laboratory, and outcome profiles of wild mushroom poisoning."
30,"msdin, genes, peptides, cyclic, amanita, gene, actin, the, family, popb",MSDIN gene family and amatoxin biosynthesis,INCLUDE,Relevant fungal genomics/toxin-biosynthesis cluster focused on MSDIN peptides and prolyl oligopeptidase genes in amanitin-producing mushrooms.
31,"compounds, new, poisonous, against, cytotoxic, from, metabolites, isolated, lines, activity",Toxic mushroom metabolites and cytotoxic natural products,INCLUDE,"Relevant but broader natural-products cluster covering toxic/poisonous mushroom metabolites, cytotoxic compounds, and chemical characterization."
32,"toxins, mass, spectrometry, liquid, method, mushroom, chromatography, dep, screening, spectrometric",Mass-spectrometric screening of mushroom toxins,INCLUDE,Strong analytical chemistry cluster focused on LC-MS/Orbitrap/direct MS screening and rapid identification of mushroom toxins.
33,"silymarin, silver, liver, diseases, thistle, marianum, silybum, milk, use, silybin",Silymarin/silibinin hepatoprotection and antidotal relevance,PARTIAL,"Partly relevant to Amanita/alpha-amanitin hepatoprotection, but mixed with broader hepatoprotective and non-mushroom toxicology literature; include only if discussing therapeutic candidates."
34,"liver, patients, transplantation, acute, failure, with, alf, mushroom, lt, vs",Mushroom poisoning-related acute liver failure and transplantation,INCLUDE,"Core clinical-outcome cluster focused on mushroom intoxication-related acute liver failure, survival, and liver transplantation."
35,"dogs, dog, toxicosis, infectious, mushrooms, ingestion, was, canine, signs, amanitin",Veterinary mushroom toxicosis,INCLUDE,"Relevant veterinary toxicology cluster focused on mushroom ingestion and toxicosis in dogs, including alpha-amanitin-containing mushrooms."
36,"phalloides, liver, transplantation, amanita, treatment, failure, patient, fractionated, patients, hip","Amanita phalloides intoxication, extracorporeal detoxification, and transplant-related outcomes",INCLUDE,"Mushroom-specific clinical cluster focused on Amanita phalloides poisoning, liver failure, plasma separation/adsorption, and downstream complications."
37,"alf, transplantation, liver, hepatitis, patients, donor, auxiliary, graft, median, children",General acute liver failure transplantation with limited mushroom relevance,PARTIAL,Mixed pediatric/adult liver-transplantation literature where mushroom poisoning appears as a minority etiology; not a core mushroom-specific cluster.
38,"onsd, clinical, paraoxonase, poisoning, parameters, mushroom, transferase, arylesterase, oxidative, patients",Clinical biomarkers and neurotoxicity assessment in mushroom poisoning,INCLUDE,"Relevant clinical toxicology cluster involving blood parameters, oxidative-stress enzymes, ONSD, and encephalopathy assessment in mushroom-poisoned patients."
39,"lucidum, ganoderma, hepatoprotective, triterpenoids, treatment, liver, ganoderic, effects, injury, herbal",Ganoderma-derived hepatoprotective strategies against alpha-amanitin injury,INCLUDE,Relevant therapeutic/mechanistic cluster focused on Ganoderma lucidum extracts/triterpenoids and ganoderic acid in alpha-amanitin-induced liver injury.
40,"encephalopathy, sugihiratake, porrigens, pleurocybella, wing, ingestion, angel, etiology, involvement, japan",Pleurocybella porrigens / Sugihiratake-associated encephalopathy,INCLUDE,Mushroom-specific neurological toxicity cluster focused on encephalopathy after Sugihiratake ingestion.
41,"hdv, rna, virus, replication, nss, synthesis, late, delta, transcription, antigenomic",Hepatitis delta virus RNA replication unrelated to mushroom poisoning,EXCLUDE,"Viral replication/transcription literature; alpha-amanitin sensitivity is mechanistic background only, not mushroom poisoning."
42,"exposures, mushroom, children, enquiries, reported, united, ingestions, mycologists, foenisecii, cases",Poison-center surveillance and exposure epidemiology,INCLUDE,"Relevant public-health surveillance cluster focused on poison-center calls, children/exposures, mycologist consultation, and national/regional reporting."
43,"mushroom, cases, poisoning, morel, poisonings, syndromes, gastrointestinal, were, of, to",Mushroom poisoning syndromic classification and morel toxicity,INCLUDE,"Relevant review/epidemiology cluster covering mushroom poisoning syndromes, general management, prevention, and morel-associated gastrointestinal toxicity."
44,"toxins, chemistry, mushrooms, toxic, toxicology, inocybe, mushroom, muscarine, substances, edulitin","Mushroom toxins: chemistry, toxicology, and mechanisms",INCLUDE,"Strong review-level cluster on chemical classes, toxic mechanisms, and toxicology of major mushroom toxins, including Inocybe/muscarine."
45,"amanita, muscaria, vidua, cap, poisoning, virosa, mushroom, case, panther, toxic",Amanita non-phalloides poisoning syndromes,INCLUDE,"Mushroom-specific cluster involving Amanita pantherina, A. muscaria, A. vidua, and other Amanita poisoning case reports."
46,"rna, brucei, transcription, gene, trypanosoma, spliced, promoter, leader, ii, genes",Trypanosome transcription biology unrelated to mushroom poisoning,EXCLUDE,Trypanosoma transcription/RNA polymerase studies; alpha-amanitin is an experimental inhibitor and not a mushroom-poisoning focus.
47,"brunneoincarnata, lepiota, mushrooms, patient, poisoning, china, mushroom, mg, ingestion, wild",Lepiota brunneoincarnata amatoxin poisoning,INCLUDE,Mushroom-specific clinical cluster focused on Lepiota brunneoincarnata poisoning with hepatic and renal injury.
48,"drosophila, tolerance, resistance, feeding, melanogaster, 20e, host, toxin, pcd, amanitin",Alpha-amanitin tolerance in mycophagous Drosophila,PARTIAL,Ecological/evolutionary toxin-resistance cluster related to mushroom toxin exposure but not human poisoning; include only as peripheral toxin-ecology evidence.
49,"acromelalga, clitocybe, nicotinic, erythromelalgia, muscarinic, inocybe, mushroom, mushrooms, cholinergic, species",Clitocybe/Paralepistopsis acromelalga erythromelalgia,INCLUDE,Mushroom-specific neurovascular/toxic syndrome cluster focused on erythromelalgia after Clitocybe/Paralepistopsis acromelalga ingestion.
50,"mars, phalloides, liver, transplantation, amanita, treatment, ecad, failure, patients, poisoning",MARS and extracorporeal liver support in Amanita poisoning,INCLUDE,Mushroom-specific therapeutic cluster focused on molecular adsorbent recirculating system and extracorporeal liver support for Amanita-induced acute liver injury.
51,"memory, gaba, reconsolidation, hippocampus, retrieval, synthesis, conditioned, down, fear, uncoupling","GABA, memory consolidation, and neurobiology unrelated to mushroom poisoning",EXCLUDE,Basic neurobiology and memory reconsolidation literature; not mushroom-poisoning relevant.
52,"peptides, peptide, substrates, macrocyclization, amino, bicyclic, enzyme, residues, precursor, cyclic",Amatoxin peptide biosynthesis and macrocyclization,INCLUDE,"Relevant toxin-biosynthesis cluster focused on amanitin macrocyclization, POPB/prolyl oligopeptidase, and cyclic peptide chemistry."
53,"oatp1b2, phalloidin, mice, null, uptake, oatp1b1, etoh, sba, enos, endothelial",Phalloidin/demethylphalloin transport and hepatic uptake mechanisms,INCLUDE,Mechanistic mushroom-toxin pharmacology cluster focused on OATP/Mrp2-mediated hepatic uptake and excretion of phalloidin-related toxins.
54,"children, fulminant, hepatic, cent, hepatitis, failure, necrosis, per, liver, in",General pediatric fulminant hepatic failure,EXCLUDE,Dominated by pediatric fulminant hepatic failure of mixed/non-mushroom etiologies; not sufficiently mushroom-specific.
55,"acute, hepatitis, failure, ingestion, mushroom, hepatic, autoimmune, poisoning, liver, cap",Death-cap mushroom acute hepatic failure,INCLUDE,Mushroom-specific clinical cluster focused on death-cap/wild mushroom ingestion causing acute liver failure.
